Turnir,od,do,EventID,Organizator(i),Direktor turnira,Glavni sudac,Zamjenik glavnog suca,Sudac,Lokacija,Tempo igre,FED,State,Zadnja izmjena,ekipe,n,Rd,Rd-Akt,DB-Key,System
Pojedinačno kadetsko prvenstvo Međimurja - 2022.                       - Kadeti do 16 godina -,20220421,20220423,,"ŠSM i ŠK ""Strahoninec""",Močnik Darko,"ŽS, Stanković Mateo, 14539632",,"KS, Kanižaj Benjamin, 14542781","Strahoninec, društveni dom",30 minuta + 30 sekundi dodatka za svaki odigrani potez,CRO,,23.04.2022  13:47,0,17,6,6,625873,Schweizer System
Varaždinsko proljeće 2022 - A turnir seniori,20220420,20220422,,ŠD Varaždin,Miroslav Smuđ,Miroslav Smuđ,,"Pergar Goran, Hanjš Vladimir",Varaždin,30'+30'' zasvaki odigrani potez,CRO,,24.04.2022  00:49,0,13,6,6,624359,Schweizer System
Varaždinsko proljeće 2022 - B turnir U16,20220420,20220422,,ŠD Varaždin,Miroslav Smuđ,Miroslav Smuđ,,Tot Miroslav,Varaždin,30'+30'' zasvaki odigrani potez,CRO,,24.04.2022  01:22,0,22,6,6,624419,Schweizer System
Varaždinsko proljeće 2022 - C turnir U12,20220420,20220422,,ŠD Varaždin,Miroslav Smuđ,Miroslav Smuđ,,Tot Miroslav,Varaždin,30'+30'' zasvaki odigrani potez,CRO,,24.04.2022  01:24,0,20,6,6,624348,Schweizer System
Varaždinsko proljeće 2022 - D turnir < 1700,20220420,20220422,,ŠD Varaždin,Miroslav Smuđ,Miroslav Smuđ,,"Pergar Goran, Vladimir Hanjš",Varaždin,30'+30'' zasvaki odigrani potez,CRO,,24.04.2022  01:00,0,9,6,6,624420,Schweizer System
"I. Otvoreni pojedinačni šahovski turnir za kadete  ""Uskrs u Vodnjanu 2022.""",20220409,20220410,,Grad Vodnjan i ŠK Vodnjan,"NA Trošić, Zvonimir (CRO) [14538849]","IA Milovac, Igor (CRO) [14535661]","NA Trošić, Zvonimir (CRO) [14538849]",,"Dom mladih u Vodnjanu, Istarska ulica br.1",30 min + 30 sec per move,CRO,,10.04.2022  14:58,0,17,7,7,617444,Schweizer System
Prvenstvo PGŽ za 2022.g. -  Juniori i do 19 godina,20220326,20220327,,ŠK Rijeka i ŠSPGŽ,Ivan Mandekić,Dušan Pijanović,,Teo Trošelj,Rijeka,30 min + 30 sec,CRO,,27.03.2022  23:04,0,11,6,6,622930,Schweizer System
Prvenstvo PGŽ za 2022.g. -  kadeti do 13 godina,20220326,20220327,,ŠK Rijeka i ŠSPGŽ,Ivan Mandekić,Dušan Pijanović,,Teo Trošelj,Rijeka,30 min + 30 sec,CRO,,27.03.2022  13:41,0,18,6,6,622933,Schweizer System
Prvenstvo PGŽ za 2022.g. -  kadetkinje do 13 godina,20220326,20220327,,ŠK Rijeka i ŠSPGŽ,Ivan Mandekić,Dušan Pijanović,,Teo Trošelj,Rijeka,30 min + 30 sec,CRO,,27.03.2022  13:40,0,8,6,6,622932,Schweizer System
Otvoreno prvenstvo Šibenika 2022.,20220222,20220322,,Š.K. Šibenik i NP Krka,Miro Tesla,Josip Morić DS,Jure Rajić KS,,Šibenik,90 minuta + 30 sekundi za svaki odigrani potez,CRO,,22.03.2022  22:49,0,36,9,9,612218,Schweizer System
Prvenstvo Istarske županije za kadete do 11 godina za 2022. godinu,20220313,20220320,,Šahovski savez Istarske županije,"NA Valković, Valter [14514931]","IA Milovac, Igor [14535661]","NA Valković, Valter [14514931]",,Vodnjan,30 min + 30 sec per move,CRO,,20.03.2022  11:18,0,7,4,4,618230,Schweizer System
Prvenstvo Istarske županije za kadete do 13 godina za 2022. godinu,20220313,20220320,,Šahovski savez Istarske županije,"NA Valković, Valter [14514931]","IA Milovac, Igor [14535661]","NA Valković, Valter [14514931]",,Vodnjan,30 min + 30 sec per move,CRO,,20.03.2022  14:35,0,11,6,6,618231,Schweizer System
Prvenstvo Istarske županije za kadete do 7 i 9 godina za 2022. godinu,20220313,20220320,,Šahovski savez Istarske županije,"NA Valković, Valter [14514931]","IA Milovac, Igor [14535661]","NA Valković, Valter [14514931]",,Vodnjan,30 min + 30 sec per move,CRO,,20.03.2022  10:53,0,8,5,5,618228,Schweizer System
